Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ),SoilM(%)
4843,20091003:0000,275,17.0,426,0.0,9.9,16.9,2.9,-0.5,7.5,11.4,11.5,-,-,-,997.6,993.1,-,20.47,-
4843,20091004:0000,185,17.5,500,1.1,5.8,9.5,2.0,-0.7,6.6,8.0,9.2,-,-,-,1015.8,1011.2,-,15.94,-
4843,20091005:0000,204,7.2,191,0.0,4.8,9.1,0.5,-2.4,7.2,7.9,8.7,-,-,-,1022.6,1017.9,-,8.83,-
4843,20091006:0000,194,12.9,312,0.0,5.7,10.8,0.6,-2.6,7.4,8.4,8.8,-,-,-,1018.6,1013.9,-,15.68,-
4843,20091007:0000,178,8.2,306,0.0,9.0,13.6,4.3,2.6,8.1,11.5,11.0,-,-,-,1018.1,1013.6,-,20.51,-
4843,20091008:0000,185,8.2,269,1.1,9.8,14.4,5.2,4.1,9.8,11.4,11.4,-,-,-,1009.9,1005.3,-,13.02,-
4843,20091009:0000,170,13.4,371,8.5,5.0,6.6,3.4,2.0,8.2,7.6,8.9,-,-,-,1008.9,1004.3,0.0,4.18,-
4843,20091010:0000,215,13.9,458,0.4,8.2,13.3,3.0,1.6,7.8,8.3,8.6,-,-,-,1010.1,1005.5,-,14.20,-
4843,20091011:0000,69,9.3,281,0.0,7.0,13.9,0.0,-2.6,9.2,10.7,10.5,-,-,-,1008.8,1004.2,-,22.91,-
4843,20091012:0000,62,7.7,309,0.0,10.8,17.0,4.6,1.8,10.1,12.4,11.9,-,-,-,1006.8,1002.3,-,23.38,-
4843,20091013:0000,60,9.3,299,0.0,11.1,15.6,6.6,6.8,10.9,15.0,13.9,-,-,-,1005.9,1001.3,-,22.31,-
4843,20091014:0000,40,13.9,362,0.4,11.2,16.9,5.4,3.8,10.9,11.7,12.0,-,-,-,1000.2,995.7,-,11.55,-
4843,20091015:0000,65,11.3,312,0.0,13.9,20.9,6.9,1.8,9.6,14.1,13.3,-,-,-,1002.5,998.0,-,22.56,-
4843,20091016:0000,78,5.7,188,1.3,11.2,13.1,9.2,7.0,11.8,12.7,12.9,-,-,-,1003.9,999.4,0.0,7.78,-
4843,20091017:0000,65,7.2,273,0.1,10.7,12.2,9.2,9.3,11.5,12.5,12.6,-,-,-,1003.6,999.1,-,7.95,-
4843,20091018:0000,188,11.3,429,0.5,6.8,11.7,1.9,-0.4,9.9,10.9,11.7,-,-,-,1007.7,1003.2,-,11.69,-
4843,20091019:0000,194,18.0,333,2.5,5.6,13.5,-2.3,-4.1,8.9,10.1,10.5,-,-,-,1007.1,1002.5,-,17.84,-
